"id","title","century","morphology","text_structure"
"AntSij","Житие Антония Сийского","16","false","false"
"ASvir","Житие Александра Свирского","16","false","false"
"CrlNvz","Житие Кирилла Новоезерского","17","true","false"
"DGlush","Житие Дионисия Глушицкого","16","true","true"
"DmPrlc","Житие Димитрия Прилуцкого","16","true","true"
"GrPelsh","Житие Григория Пельшемского","16","true","true"
"KrnKml","Житие Корнилия Комельского","17","true","true"
"PObn","Житие преподобного Павла Обнорского (житие)","16","false","false"
"PObn-m","Житие преподобного Павла Обнорского (чудеса)","16","false","false"
"SrgNurm","Житие преподобного Сергия Нуромского","16","false","false"
"AKush","Житие Александра Куштского","17","false","false"
"AKush-EvSzh","Житие Александра Куштского и Евфимия Сянжемского","18","false","false"
"GrsVlg","Житие Герасима Вологодского","18","false","false"
"IgnVlg","Житие Игнатия Вологодского","18","false","false"
"IgnLm","Житие Игнатия Ломского","18","false","false"
"IoaKam","Житие Иоасафа Каменского","17","false","false"
"KsUgl","Житие Кассиана Угличского","17","false","false"
"AndTtm","Житие Андрея Тотемского","18","false","false"
"ArsKml","Житие Арсения Комельского","18","false","false"
"InnKml","Житие Иннокентия Комельского","18","false","false"
"StKml","Житие Стефана Комельского","17","false","false"
"ThdTtm","Житие Феодосия Тотемского","18","false","false"
"VsTix","Житие Вассиана Тиксненского (житие и чудеса 1–8)","18","false","false"
"VsTix-m","Житие Вассиана Тиксненского (чудеса 9–29)","18","false","false"
